"ensembl_gene_id","external_gene_name","description"
"ENSMUSG00000101213","Gm28788","predicted gene 28788 [Source:MGI Symbol;Acc:MGI:5579494]"
"ENSMUSG00000100952","Gm28545","predicted gene 28545 [Source:MGI Symbol;Acc:MGI:5579251]"
"ENSMUSG00000099730","Gm28547","predicted gene 28547 [Source:MGI Symbol;Acc:MGI:5579253]"
"ENSMUSG00000099896","Gm29278","predicted gene 29278 [Source:MGI Symbol;Acc:MGI:5579984]"
"ENSMUSG00000101873","Gm28546","predicted gene 28546 [Source:MGI Symbol;Acc:MGI:5579252]"
"ENSMUSG00000100260","Gm28608","predicted gene 28608 [Source:MGI Symbol;Acc:MGI:5579314]"
"ENSMUSG00000100675","Gm28607","predicted gene 28607 [Source:MGI Symbol;Acc:MGI:5579313]"
"ENSMUSG00000099807","Gm28771","predicted gene 28771 [Source:MGI Symbol;Acc:MGI:5579477]"
"ENSMUSG00000101435","Gm28772","predicted gene 28772 [Source:MGI Symbol;Acc:MGI:5579478]"
"ENSMUSG00000100544","Gm28606","predicted gene 28606 [Source:MGI Symbol;Acc:MGI:5579312]"
"ENSMUSG00000100883","Gm28773","predicted gene 28773 [Source:MGI Symbol;Acc:MGI:5579479]"
"ENSMUSG00000100902","Gm20850","predicted gene, 20850 [Source:MGI Symbol;Acc:MGI:5434206]"
"ENSMUSG00000100892","Gm20897","predicted gene, 20897 [Source:MGI Symbol;Acc:MGI:5434253]"
"ENSMUSG00000100673","Gm29574","predicted gene 29574 [Source:MGI Symbol;Acc:MGI:5580280]"
"ENSMUSG00000101050","Gm28774","predicted gene 28774 [Source:MGI Symbol;Acc:MGI:5579480]"
"ENSMUSG00000102025","Gm29575","predicted gene 29575 [Source:MGI Symbol;Acc:MGI:5580281]"
"ENSMUSG00000099793","Gm28775","predicted gene 28775 [Source:MGI Symbol;Acc:MGI:5579481]"
"ENSMUSG00000100699","Gm21765","predicted gene, 21765 [Source:MGI Symbol;Acc:MGI:5433929]"
"ENSMUSG00000099351","Gm28776","predicted gene 28776 [Source:MGI Symbol;Acc:MGI:5579482]"
"ENSMUSG00000101771","Gm28176","predicted gene 28176 [Source:MGI Symbol;Acc:MGI:5578882]"
"ENSMUSG00000100719","Gm28786","predicted gene 28786 [Source:MGI Symbol;Acc:MGI:5579492]"
"ENSMUSG00000101740","Gm29360","predicted gene 29360 [Source:MGI Symbol;Acc:MGI:5580066]"
"ENSMUSG00000100050","Gm28121","predicted gene 28121 [Source:MGI Symbol;Acc:MGI:5578827]"
"ENSMUSG00000100588","Gm29497","predicted gene 29497 [Source:MGI Symbol;Acc:MGI:5580203]"
"ENSMUSG00000102050","Gm29499","predicted gene 29499 [Source:MGI Symbol;Acc:MGI:5580205]"
"ENSMUSG00000101238","Gm28123","predicted gene 28123 [Source:MGI Symbol;Acc:MGI:5578829]"
"ENSMUSG00000100406","Gm28120","predicted gene 28120 [Source:MGI Symbol;Acc:MGI:5578826]"
"ENSMUSG00000099526","Gm29313","predicted gene 29313 [Source:MGI Symbol;Acc:MGI:5580019]"
"ENSMUSG00000101040","Gm29498","predicted gene 29498 [Source:MGI Symbol;Acc:MGI:5580204]"
"ENSMUSG00000101272","Gm36782","predicted gene, 36782 [Source:MGI Symbol;Acc:MGI:5595941]"
"ENSMUSG00000101633","Gm29839","predicted gene, 29839 [Source:MGI Symbol;Acc:MGI:5588998]"
"ENSMUSG00000101283","Gm29314","predicted gene 29314 [Source:MGI Symbol;Acc:MGI:5580020]"
"ENSMUSG00000100907","Gm29310","predicted gene 29310 [Source:MGI Symbol;Acc:MGI:5580016]"
"ENSMUSG00000101960","Gm29311","predicted gene 29311 [Source:MGI Symbol;Acc:MGI:5580017]"
"ENSMUSG00000101917","Gm29312","predicted gene 29312 [Source:MGI Symbol;Acc:MGI:5580018]"
"ENSMUSG00000101205","Gm29308","predicted gene 29308 [Source:MGI Symbol;Acc:MGI:5580014]"
"ENSMUSG00000100526","Gm29309","predicted gene 29309 [Source:MGI Symbol;Acc:MGI:5580015]"
"ENSMUSG00000101785","Gm28702","predicted gene 28702 [Source:MGI Symbol;Acc:MGI:5579408]"
"ENSMUSG00000100149","Gm28701","predicted gene 28701 [Source:MGI Symbol;Acc:MGI:5579407]"
"ENSMUSG00000099953","Gm28699","predicted gene 28699 [Source:MGI Symbol;Acc:MGI:5579405]"
"ENSMUSG00000102032","Gm28705","predicted gene 28705 [Source:MGI Symbol;Acc:MGI:5579411]"
"ENSMUSG00000100823","Gm28704","predicted gene 28704 [Source:MGI Symbol;Acc:MGI:5579410]"
"ENSMUSG00000099416","Gm28540","predicted gene 28540 [Source:MGI Symbol;Acc:MGI:5579246]"
"ENSMUSG00000099606","Gm28537","predicted gene 28537 [Source:MGI Symbol;Acc:MGI:5579243]"
"ENSMUSG00000100063","Gm28538","predicted gene 28538 [Source:MGI Symbol;Acc:MGI:5579244]"
"ENSMUSG00000100722","Gm29569","predicted gene 29569 [Source:MGI Symbol;Acc:MGI:5580275]"
"ENSMUSG00000096898","Gm20867","predicted gene, 20867 [Source:MGI Symbol;Acc:MGI:5434223]"
"ENSMUSG00000100366","Gm29568","predicted gene 29568 [Source:MGI Symbol;Acc:MGI:5580274]"
"ENSMUSG00000100888","Gm29567","predicted gene 29567 [Source:MGI Symbol;Acc:MGI:5580273]"
"ENSMUSG00000100433","Gm21198","predicted gene, 21198 [Source:MGI Symbol;Acc:MGI:5434553]"
"ENSMUSG00000102111","Gm29566","predicted gene 29566 [Source:MGI Symbol;Acc:MGI:5580272]"
"ENSMUSG00000101060","Gm29565","predicted gene 29565 [Source:MGI Symbol;Acc:MGI:5580271]"
"ENSMUSG00000099497","Gm29147","predicted gene 29147 [Source:MGI Symbol;Acc:MGI:5579853]"
"ENSMUSG00000099479","Gm29146","predicted gene 29146 [Source:MGI Symbol;Acc:MGI:5579852]"
"ENSMUSG00000101115","Gm28664","predicted gene 28664 [Source:MGI Symbol;Acc:MGI:5579370]"
"ENSMUSG00000100849","Gm28663","predicted gene 28663 [Source:MGI Symbol;Acc:MGI:5579369]"
"ENSMUSG00000099742","Gm29148","predicted gene 29148 [Source:MGI Symbol;Acc:MGI:5579854]"
"ENSMUSG00000100999","Gm29145","predicted gene 29145 [Source:MGI Symbol;Acc:MGI:5579851]"
"ENSMUSG00000101321","Gm28817","predicted gene 28817 [Source:MGI Symbol;Acc:MGI:5579523]"
"ENSMUSG00000100328","Gm28816","predicted gene 28816 [Source:MGI Symbol;Acc:MGI:5579522]"
"ENSMUSG00000094739","Gm20806","predicted gene, 20806 [Source:MGI Symbol;Acc:MGI:5434162]"
"ENSMUSG00000102071","Gm28815","predicted gene 28815 [Source:MGI Symbol;Acc:MGI:5579521]"
"ENSMUSG00000101804","Gm28813","predicted gene 28813 [Source:MGI Symbol;Acc:MGI:5579519]"
"ENSMUSG00000099849","Gm29274","predicted gene 29274 [Source:MGI Symbol;Acc:MGI:5579980]"
"ENSMUSG00000100822","Gm29275","predicted gene 29275 [Source:MGI Symbol;Acc:MGI:5579981]"
"ENSMUSG00000101471","Gm29276","predicted gene 29276 [Source:MGI Symbol;Acc:MGI:5579982]"
"ENSMUSG00000101455","Gm21805","predicted gene, 21805 [Source:MGI Symbol;Acc:MGI:5433969]"
"ENSMUSG00000099700","Gm29645","predicted gene 29645 [Source:MGI Symbol;Acc:MGI:5580351]"
"ENSMUSG00000101811","Gm28312","predicted gene 28312 [Source:MGI Symbol;Acc:MGI:5579018]"
"ENSMUSG00000101247","Gm29042","predicted gene 29042 [Source:MGI Symbol;Acc:MGI:5579748]"
