gene	logFC
Dtx3l	2.41584966562971
Cnr2	2.41103164743259
Akt3	2.40946256631582
Il7	2.40739708981172
Lrmp	2.40647313414507
1810065E05Rik	2.39349532689968
BC089597	2.38654993594894
Hvcn1	2.38452244776525
Defa5	2.38034493385934
BC051077	2.37937099738031
Duoxa1	2.37740564462126
Defa22	2.37671355572797
Rep15	2.37657439316484
Fmo5	2.37424045424587
Pde4c	2.3677233170846
Apbb1ip	2.36497188060289
Cyp4v3	2.36494415340316
Parp12	2.36398021871479
Trim47	2.36329363417312
Tnfrsf14	2.36316225973943
Trerf1	2.34536619781697
Ugt2a3	2.34436206442663
Gm14446	2.34428467680527
1700007E06Rik	2.33844503217149
Arg2	2.3320577579428
Dclk3	2.33104611945726
Pigr	2.32914462283564
Spata17	2.32816611298996
Ddx26b	2.32305024579217
Padi2	2.32249155012291
Gm12941	2.32111791992952
Naaladl1	2.32075028667303
Cndp1	2.30985627655899
Ang4	2.30911781492384
Scml2	2.30760332019664
Gm17446	2.30745751722714
Ppef2	2.30469972919399
Cacnb1	2.29796949513946
Tnfsf13b	2.29717474403529
Gm11437	2.29660773004005
Bambi-ps1	2.29171145835993
Rapgefl1	2.28738829753927
Trpa1	2.27719649969462
Gm11201	2.27442271703885
2010110P09Rik	2.26859728192522
Apol7a	2.26705679929417
NR_040730	2.26467616492353
Slc27a4	2.2645749929786
Mro	2.26319089049255
Xpnpep2	2.26136118535873
Alas2	2.26042044840932
Gpr30	2.25802481142535
Plcb2	2.25399333751822
Snph	2.25393103483786
Camk4	2.24660383515312
Slc4a10	2.24658286232119
Gm16731	2.23880791295845
Rgs10	2.22983739653026
Ly75	2.22869270899345
Hes2	2.22615227746069
Ada	2.22554768663817
Trim12a	2.21912021129152
Herc6	2.21722392586698
Tmem86a	2.21633999901781
Dnase1	2.21360329216305
Calhm2	2.20941009900291
Ccdc19	2.20662341578834
Hsd11b2	2.20646297243975
Ptprh	2.20532310862363
Gm17211	2.2043000443631
Ffar3	2.2038890511279
Ptpn22	2.2016211924485
4632428C04Rik	2.20100588622128
Fabp2	2.20015116003442
Gm12146	2.19609877597074
Klhdc8a	2.19214322760509
Cyp4f40	2.19170073900396
Irf7	2.18788485741205
Gpsm3	2.1875044152008
Ccrl2	2.18445622017918
Dock8	2.18415271244462
Gm17269	2.18261448246616
4933439K11Rik	2.17839930369395
Krt12	2.17733134972939
Slc6a20b	2.17719314024544
Ms4a12	2.17648851680407
Lyzl4	2.17468830522022
Synpo	2.17278791295575
Vcan	2.1712569466498
Duoxa2	2.16895616170476
Fgr	2.16375493067114
Mfsd2b	2.16171199214496
Slc46a3	2.16156174757055
Slc2a7	2.16050603902448
Unc93b1	2.15902203297582
Dgka	2.15507037911949
Xlr3a	2.14955570248518
Trim40	2.14843211764903
Mep1a	2.14344055263873
Irf9	2.14087542786544
Rgl3	2.13697841625978
Slc26a10	2.13556221329472
Apoa4	2.13498720471857
A230050P20Rik	2.13472780582218
Fcgbp	2.13298464916033
Btnl3	2.12719645812547
Pik3cg	2.12524136306095
Gm11706	2.12457875015102
Tapbp	2.12307187774593
Slc5a8	2.1219727929433
Zfp677	2.12078191379159
H2-Q2	2.1197254085848
Psmb10	2.11955643490654
Kcnk6	2.11804706031507
Cish	2.11741626516504
Gm15284	2.11409577719388
Gm11131	2.11162726769927
Ano7	2.10830748688697
Bambi	2.10433007035189
Palm	2.10371506492424
Aqp7	2.10361979862016
Id4	2.10082154347733
Ctss	2.09990219783384
Slc10a5	2.09898512949458
Gm16174	2.09884699662674
Slc6a19	2.09598413449005
Hivep3	2.09576935653957
Fyb	2.09515352777949
Treh	2.093842896014
C1qa	2.0889860917772
Btnl5	2.08857950394839
Gm13889	2.08549610271931
Itpripl2	2.08479718432703
Fam189a1	2.08287400254794
H2-Q6	2.07669243446122
Clca2	2.07496013843332
Slc15a2	2.07334164064324
Rcn1	2.06939692765535
Fas	2.0683176078131
Cd59a	2.06504026196144
