gene	logFC
RPUSD2	2.68328589991048
KCNE5	2.68068923450197
LYAR	2.6792862555394
SLC39A14	2.67782247651771
UFSP1	2.67576039745617
ZNF215	2.67529853120922
TRMT6	2.67464471954497
CNIH4	2.67416389777051
PRSS23	2.67167279099331
PARS2	2.67157323669576
LOC107984494	2.67090869395948
PARPBP	2.67049989600758
LINC02642	2.66318319870807
FASN	2.66205483868631
LOC100507336	2.66115634608547
PCOLCE2	2.66006909366409
ALDH1B1	2.6596087533344
CIP2A	2.65956224668819
SLC25A19	2.65748312324094
BORA	2.65675626339623
NT5DC2	2.65622724890023
TMEM74	2.6557524251124
SNORA26	2.65400321272372
H4C1	2.64905970155553
PTGFRN	2.64879560639042
MTHFD2	2.64749830873981
DEPDC7	2.64455987079283
CRISP2	2.64282529531539
C11orf24	2.64202950974534
CBR1	2.64004334976313
THAP7	2.63996470184904
SLIRP	2.63906134516103
CISD1	2.63731191666407
PCSK9	2.63708503763273
RFC4	2.63638088544365
C17orf58	2.63602745582661
CHAC1	2.63536770239499
RAB31	2.63354769358834
NDUFA4L2	2.63214636280736
CKS1B	2.63149704548829
MIS18A	2.63057285134056
TMEM186	2.62705858098441
FDXACB1	2.62494577532426
TNFAIP8L2	2.61947148763365
LOC107985050	2.61843507015338
NMRAL2P	2.61748444861965
H4C3	2.61743589246629
TEX15	2.61553985533443
WDR62	2.61501794641163
PDCD2L	2.61413731833647
AARS1	2.61390340558554
PRR11	2.61348523912089
PKIB	2.60843960773584
DLGAP1-AS3	2.60808151392914
TSFM	2.60805431031216
METTL18	2.60777159377075
SMC2	2.60506215602401
NCF4-AS1	2.60408825207504
FADS1	2.60317054835585
C3AR1	2.60248670754508
SGO1	2.60245392390907
MCM8-AS1	2.60235895306684
ANKLE1	2.60009139258223
H3C10	2.59975041284856
ETV4	2.5996599004925
SNORD13G	2.59778553807328
SLC7A5	2.59561095578979
H2BC17	2.59526613554065
LINC02806	2.59059322005398
LINC01775	2.58981040322823
SKP2	2.58655641160951
CENPS	2.58624676754861
CD36	2.58504538491527
EEF1AKMT4	2.58385696603237
SLC1A4	2.58370570116768
USP44	2.58329723083674
MARS2	2.58151898535694
APOBEC3B	2.57998812978443
GEN1	2.575548705966
ACLY	2.57515416091561
LOC105373338	2.57480455992286
ZNF813	2.57278764188049
PTPN13	2.57219471225276
LOC107987290	2.56863547736369
MRPS12	2.56654943582162
INSIG1	2.56592342906333
NME1	2.56407940639514
LINC02457	2.5609252997748
RRP36	2.55979190898084
CSTF2	2.55701921485826
FANCD2OS	2.55660156959397
ZNF200	2.55586688169667
H3C11	2.55432543286071
E2F2	2.5537260698646
EXOSC4	2.55320643811166
ACTL6A	2.55096039319416
SLC12A8	2.55023864128469
HSPA8	2.54950626582412
CXCR3	2.54905823554009
EEF2KMT	2.54506348699338
NANP	2.54472397857299
STIL	2.54354655220707
ZNF695	2.54241310197097
NOP56	2.54178835670361
ALKBH3-AS1	2.5383963070759
UHRF1	2.538032499041
CST7	2.5380144310061
DTYMK	2.53665539890034
STON1	2.53517738421451
XK	2.53496509941069
WNT3	2.5317636962476
LONRF2	2.53119820310618
LOC102723591	2.53113247390358
CENPS-CORT	2.52885016870239
CHDH	2.52862000869752
ALOX5AP	2.5276721287549
MTLN	2.52566589631106
TRIM59	2.52329675625207
CEBPA	2.52222560088375
CIT	2.52196932366381
WDHD1	2.52157517772656
WDR76	2.51960398076238
TRDJ2	2.51937130193032
FAM171A1	2.5191931054436
PROK2	2.5191464885892
MAP6D1	2.51871899093453
PHGDH	2.51590056294597
KIF18A	2.51574705922167
BOLA3	2.51565319925784
SYNDIG1	2.51460691789443
FADD	2.51078674250181
CHRNA5	2.50913468136422
NCR3	2.50868001301532
SIGLEC12	2.50831041627834
MYO1A	2.50819103754441
SNORA90	2.50813228337502
LRR1	2.50783634337924
MRTO4	2.50509971708405
PHAX	2.50454220822555
H2AC11	2.50442571983626
SLC25A41	2.50392938145678
